,id,parentId,proposalId,page,userId,userType,date,time,text,numVotes,numPositiveVotes,numNegativeVotes
0,17092,-1,7,3,2780,,2015-09-15,0 days 10:50:19,Pero si esto está ya en el programa y es una prioridad.,1,1,0
1,17107,17092,7,3,10016,,2015-09-15,0 days 11:07:10,Pues no termina de cumplirse el compromiso. Ir por el centro es un asco muchas veces.,1,1,0
2,17127,17107,7,3,9884,Autor,2015-09-15,0 days 11:23:10,"Por centro y por los barrios, yo me avergüenzo cada día que salgo de mi casa y veo las calles.",1,1,0
3,17135,-1,7,3,10073,,2015-09-15,0 days 11:29:18,"El Ayuntamiento ya tiene entre sus objetivos y tareas habituales limpiar las calles. Para hacer una propuesta, sería necesario algo tan básico como concretar qué medidas concretas de limpieza se solicitan.",1,1,0
4,17137,17127,7,3,2780,,2015-09-15,0 days 11:32:51,Pero que llevan 3 meses! y este problema es de años y años. Por Dios un voto de confianza.,1,1,0
5,17139,17135,7,3,9884,Autor,2015-09-15,0 days 11:35:16,"Si es una tarea habitual, en mi barrio lo de habitual es una vez al mes. La medida que se solicita es que se lleve a cabo la tarea que se presupone hay que hacer. Quiero dignidad en las calles, nada más.",1,1,0
6,17141,17137,7,3,9884,Autor,2015-09-15,0 days 11:36:47,Pero es que en tres mes se tenía que haber visto un poco de movimiento y que conste que les vote precisamente para ver la mejoría.,1,1,0
7,17146,-1,7,1,10093,,2015-09-15,0 days 11:42:26,"A exigir a las contratas que cumplan, o incluso ponerles penalizaciones por incumplimientos.",3,3,0
8,17162,-1,50,1,10107,,2015-09-15,0 days 11:48:43,Yo también utilizo la bicicleta en Madrid y creo que el ayuntamiento debería incidir más en crear infraestructuras en las arteria principales de Madrid para animar a todos cambiar el coche por la bicicleta.,7,6,1
9,17166,17139,7,3,24,,2015-09-15,0 days 11:49:18,"Entiendo tu enfado con el problema mayúsculo que es la limpieza en la ciudad porque lo compartimos todos. Sin embargo, creo que este tipo de propuestas genéricas no llegan a ningúna parte, ya que ya es una prioridad para todos. Mejor sería informarse de los motivos por los que los actuales contratos de limpieza con empresas adjudicatarias no están funcionando te aconsejo este artículo: y después proponemos algo concreto para solucionar el problema: ¿seguir como hasta ahora hasta que expiren los contratos? ¿Rompemos los contratos, pagamos la multa, y remunicipalizamos el servicio? o cualquier otra que se nos ocurra.",4,4,0
10,17178,17166,7,3,9884,Autor,2015-09-15,0 days 11:53:58,"Yo no soy la alcaldesa, eso lo tiene que solucionar ella, para eso se le eligió, si hay una cláusulas que obligan a hacer bien el servicio y no se hace se podrán tomar medidas. Sólo sé que mi barrio está muy sucio y fue el distrito que más votó a este nuevo gobierno municipal para que ahora esté tan olvidado. Pagamos nuestros impuestos igual que otros distritos.",6,3,3
11,17187,17178,7,3,24,,2015-09-15,0 days 11:59:41,"Creo que tenemos visiones distintas del tipo de propuestas que se deberían hacer para ser consideradas en referéndum. En todo caso comparto al 100 tu malestar por el problema de la limpieza, y ojalá que se solucione lo antes posible.",1,1,0
12,17191,17187,7,3,9884,Autor,2015-09-15,0 days 12:01:33,"Estaría bien que los concejales de los distritos se dieran una vuelta por los barrios, claro que el de Vallecas Villa cuando viera toda la basura en las calles se volvería corriendo a su despacho.",0,0,0
13,17200,17137,7,3,750,,2015-09-15,0 days 12:06:48,La semana pasada tuve la desgraciada fortuna de cruzarme con una rata cerca de Atocha. En mi vida me había encontrado con ratas por la calle en Madrid.,2,2,0
14,17210,-1,50,6,10187,,2015-09-15,0 days 12:12:44,"Tienes un carril de la Castellana y de otras muchas calles que es para ir en bicicleta. Lo sabrás porque tiene un dibujo de una bicicleta y una señal de prohibido ir a más de 30 Lo que hay que hacer es obligar a los coches a cumplir las normas de circulación adelantar a 1,5m. , respetar el límite de velocidad, etc.",16,7,9
15,17212,17137,7,3,10200,,2015-09-15,0 days 12:13:36,La suciedad que hay por mi barrio se ha multiplicado en estos 3 meses precisamente. Yo también les vote y es impresicindible que empiecen a tomar medidas ya porque es vergonzoso tener una ciudad como Madrid tan sumamente sucia. A este paso la ciudad va a parecer una cloaca.,2,1,1
16,17218,17212,7,3,9884,Autor,2015-09-15,0 days 12:17:31,"Pues habrá que exigirlo a gritos para que se pongan urgentemente, yo también creo que en estos meses no solo no ha mejorado si no que ha empeorado, yo me avergüenzo de esta ciudad, y no hay que olvidar que es la capital y tendría que dar ejemplo.",2,1,1
17,17228,17162,50,1,10197,,2015-09-15,0 days 12:23:16,Totalmente de acuerdo. Lo cierto es que mucho subimos en bicicleta por la castellana. Desde Legazpi o desde atocha. Y nos la jugamos todo el rato. Agradeceríamos este gesto del nuevo Ayuntamiento para con la movilidad y el aire de Madrid.,9,6,3
18,17231,-1,86,2,10147,Autor,2015-09-15,0 days 12:25:02,"Actualmente sólo se puede reciclar el aceite de cocina usado en los puntos limpios, en muchas ocasiones alejados de las viviendas. Acercarlo a las comunidades de vecinos facilitaría el reciclaje.",1,1,0
19,17232,17218,7,3,10112,,2015-09-15,0 days 12:27:49,"Coincido plenamente contigo en lo de la limpieza de distritos, algunos dan autentico asco, aunque también tiene que haber algo de responsabilidad por parte de la gente de no ensuciar las calles. Algunos piensan que es un estercolero y pueden ir tirando todo lo que les venga en la real gana. Deberían tomarse medidas en uno y otro sentido.",0,0,0
20,17234,-1,50,1,9996,Autor,2015-09-15,0 days 12:29:21,"Conozco los ciclocarriles y son muy válidos para la mayor parte de Madrid donde hay calles más estrechas y menos tráfico, pero creo que en una vía con tanta circulación y habiendo suficiente espacio para poner un carril bicicleta, sería más seguro y conveniente separar el tráfico.",14,12,2
