proposal_id,comment_id,arguments name,argument_description,argument types
7,[17359],Educación y concienciación ciudadana,El ideal sería vivir sin necesidad de tener un policía y un barrendero detrás de nosotros.,A favor
7,[63450],Educación y concienciación ciudadana,"Hay que educar a los ciudadanos, aunque sea a base de multas.",A favor
7,[78347],Educación y concienciación ciudadana,Eduquense y no ensucien tanto.,A favor
7,[17844],Educación y concienciación ciudadana,"Hola, en mi opinión no me parece una prioridad a día de hoy.",En contra
7,[37078],Educación y concienciación ciudadana,"Madrid es una ciudad sucia, no por falta de limpieza, pero sí por falta de educación.",En contra
7,[18904],Gestión y políticas de limpieza,"Una de las principales pautas por las que valoraré al nuevo gobierno, al que he votado, es por la limpieza.",A favor
7,[18904],Gestión y políticas de limpieza,"Espero que acabe, lo antes posible, con la dejadez que nos han dejado los anteriores desgobiernos de Madrid.",A favor
7,[18836],Gestión y políticas de limpieza,El Ayuntamiento debería anular el contrato de limpieza de la ciudad.,En contra
7,[17466],Gestión y políticas de limpieza,La gestión en cuanto a limpieza ha sido y sigue siendo más que pésima.,En contra
7,[35759],Gestión y políticas de limpieza,"El Ayuntamiento está tan ocupado leyendo propuestas y escuchando a sus ciudadanos, que se olvida de los que son sus obligaciones fundamentales, prestar servicios públicos de calidad a los ciudadanos.",En contra
7,[18314],Infraestructura y recursos,"Necesitamos muchos camiones con mangueras de agua, barrer no es suficiente.",A favor
7,[18314],Infraestructura y recursos,Las calles apestan.,A favor
7,[17466],Estado actual de las calles,Es lamentable el estado de las calles en la zona centro de Madrid.,A favor
7,[17466],Estado actual de las calles,Las únicas calles que se limpian son Espítu Santo y Manuela Malasaña.,A favor
7,[17858],Estado actual de las calles,"Hasta el centro esta sucio, la periferia Valdebernardo ya da asco.",En contra
7,[17858],Estado actual de las calles,"La basura algún día ni la recogen, basura fuera de los contenedores días y días.",En contra
7,[17858],Estado actual de las calles,¿Qué está pasando?,En contra
7,[17369],Sanciones y multas,Propuesta relacionada: multar por los excrementos de los perros.,A favor
7,[17245],Sanciones y multas,"Totalmente de acuerdo, educar y sancionar y mientras tanto limpiar y limpiar.",A favor
