file,entities
10195,"['Vale (ORG)', 'betis (ORG)', 'jajaja (PER)', 'Estimado Manuel Villalba (PER)', 'Colegios (LOC)', 'haré (PER)', 'CEM Organización Mundial Salud OMS (ORG)', 'Comisión Reales Decretos (ORG)', 'EB4CTV alegra mañana (PER)', 'Unión Internacional RadioComunicaciones (ORG)', 'Sabia (PER)', 'Vaya Salamanca (LOC)', 'Usted (PER)', 'Busque (LOC)', 'FM TV (ORG)', 'AM 500000 w Sí (LOC)', 'AM España (ORG)', 'Salamanca (LOC)', 'españa (LOC)', 'Voy (PER)', 'Whatsapp (ORG)', 'Solo (PER)', 'Manuel Villalba (PER)', 'Apoyo (PER)', 'Hola (LOC)', 'Respondo (PER)', 'FM TV AM ol oc radios barcos (ORG)', 'EB4CTV (ORG)', 'Dediquese (PER)', 'veais Kw (PER)', 'OMS (ORG)', 'nops (PER)', 'Guarderías Colegios (ORG)', 'Madrid (LOC)', 'Orden Ministerial 232002 (ORG)', 'Conozco Padre Poveda (PER)']"
10675,"['Investigaré (LOC)', 'Prefiero (PER)', 'Vascos (LOC)', 'España (LOC)', 'Negros (LOC)', 'Coco (PER)', 'EEUU (LOC)', 'Altos/Bajos (LOC)', 'Pd (PER)', 'Vaya cie Consulte (PER)', 'Alcalde (PER)', 'Voilá (PER)', 'Entérese (LOC)', 'Hancock (PER)', 'Andaluces (LOC)', 'Usted (PER)', 'Blancos (ORG)', 'Obvio (PER)']"
10687,"['M30 (LOC)', 'INE (PER)', 'Blablacar (PER)', 'opino (PER)', 'Pagáremos (PER)', 'Haciendo (PER)', 'Dedocar (LOC)', 'Aparcamiento (LOC)', 'Hacienda (PER)', 'Madrid (LOC)', 'Ayuntamiento (PER)']"
1085,"['Ah (PER)', 'Chamartín Tetuán Tal (LOC)', 'Pura (PER)', 'Von (PER)', 'Perdona (LOC)', 'dadle difusión (PER)', 'Grecia (LOC)', 'Respetaba (PER)', 'Multar (LOC)', 'calles vicalvaro (PER)', 'Comunidad Madrid (ORG)', 'Buenos (LOC)', 'Encargados (LOC)', 'npo (ORG)', 'Dijeron (LOC)', 'distrito Usera (LOC)', 'Valdezarza (LOC)', 'Vais (LOC)', 'calle Mirasierra (LOC)', 'Xátiva (LOC)', 'Ohhhhhh. (PER)', 'Alicante (LOC)', 'Jolín (PER)', 'Stopcacadeperro (PER)', 'Vitoria (LOC)', 'Bomberos (ORG)', 'Saludos (LOC)', 'Buscate (LOC)', 'proposals/137 (ORG)', 'Uhm (PER)', 'Trabes (PER)', 'OCDE (ORG)', 'Oxfam Intermon (ORG)', 'Voy (PER)', 'Ayuntamiento (LOC)', 'Cuesta (PER)', 'Cortar (LOC)', 'Hola (LOC)', 'Sitges (LOC)', 'ciega (PER)', 'Carmena Dimisión (PER)', 'Dudo (LOC)', 'Anda (PER)', 'Peor (PER)', 'Europa (LOC)', 'valencia (LOC)', 'Gracias (PER)', 'Parque Cuña Verde ODonnell (LOC)', 'Votado. (LOC)', 'España (LOC)', 'Tercer Reich (ORG)', 'Carlos (PER)', 'Sabes (PER)', 'Palmas Gran Canaria (LOC)', 'Paseo Delicias (LOC)', 'Sustos (LOC)', 'Madrid (LOC)', 'sip (ORG)', 'Ohhhh (PER)', 'calles (PER)']"
109,"['Prefiero (PER)', 'Graffitis (PER)', 'Malasaña (LOC)', 'Vallecas (LOC)', 'Madrid (ORG)', 'Apoyad (PER)', 'Conozco Aluche (PER)', 'Camarena Valmojado (PER)', 'mia. (ORG)', 'Tolerancia (LOC)', 'Ayuntamiento (LOC)', 'Votado (PER)', 'Aluche (LOC)', 'Apoyo (PER)', 'Madrid (LOC)', 'Castillejos (LOC)', 'graffittis (PER)', 'Buenos días tod@s (LOC)', 'España (LOC)', 'Votado (LOC)', 'Vomitivo (LOC)', 'Aluche (PER)', 'Centro (LOC)']"
10996,"['EMT (ORG)', 'Deberíamos (LOC)', 'Barcelona (LOC)', 'Roma (LOC)', 'Comunidad Madrid (ORG)', 'The Guardian (ORG)', 'EMT (LOC)', 'Transportes (ORG)', 'Paris (LOC)', 'Ayuntamiento (LOC)', 'Ayuntamiento Madrid (LOC)', 'Viena (LOC)', 'Ayuntamiento Comunidad. (LOC)', 'Tallín (LOC)', 'Londres (LOC)', 'París (LOC)', 'Google (ORG)', 'Madrid (LOC)', 'viena (LOC)', 'Estado (LOC)']"
11134,"['Europa (LOC)', 'Preocupese (LOC)', 'Aprecia (LOC)', 'España (LOC)', 'prorateo (PER)', 'Sale (PER)', 'Julio (PER)', 'opino (PER)', 'Continúo (LOC)', 'Seria (LOC)', 'Sabe (PER)', 'Respeto y. (PER)', 'ud (PER)', 'Salgo (PER)', 'Usted (PER)', 'públic@s (PER)']"
1114,"['Europa (LOC)', 'Votado. (LOC)', 'España (LOC)', 'OCDE (ORG)', 'Oxfam Intermon (ORG)', 'Discrepo (PER)', 'Gracias Manuel (PER)', 'Apoyo (PER)', 'Grecia (LOC)', 'Madrid (LOC)', 'Programa (ORG)']"
1121,"['Ibosa (PER)', 'Prque (LOC)', '4caminos (LOC)', 'Museo cocheras (LOC)', 'EEUU (LOC)', 'Reina Victoria Parque Santander (LOC)', 'Museo Metro Cocheras Históricas Cuatro Caminos (LOC)', 'ICADE (ORG)', 'Almansa (LOC)', 'Iberia (ORG)', 'Atocha (LOC)', 'Golf Canal (LOC)', 'Dejadnos (LOC)', 'metro Madrid (LOC)', 'Vaya (LOC)', 'Ayuntamiento Madrid (LOC)', 'Ayuntamiento (LOC)', 'Hola (LOC)', 'Palacios (PER)', 'Chamberí (LOC)', 'Nueva York (LOC)', 'Arias Navarro (PER)', 'Gracias (PER)', 'apantalla (LOC)', 'Google (ORG)', 'EEUU Alemania (LOC)', 'Cocheras Históricas Metro (LOC)', 'Tranvía Autobús (LOC)', 'Conoceras (PER)', 'Anden (LOC)', 'Centro (LOC)', 'Cuatrocaminos (LOC)', 'Venezuela (LOC)', 'Acabo (LOC)', 'museo Metro (LOC)', 'Buenos días (LOC)', 'Ferrocarril (LOC)', 'Encima (LOC)', 'Cuatro Vientos (LOC)', 'Hola Alvaro Bonet (PER)', 'Marques Viana Tetuán (LOC)', 'Historia (ORG)', 'Metro (LOC)', 'Seria (LOC)', 'Podemos (PER)', 'Ayuntamiento Círculo Bellas Artes (LOC)', 'Rectificar (PER)', 'Edificadas (LOC)', 'Museo (LOC)', 'Alvaro Bonet (PER)', 'Notese (PER)', 'Munich (LOC)', 'Madrid (LOC)', 'Comunidad Madrid (LOC)', 'Municipal Transportes muniqués (ORG)', 'Patrimonio Humanidad Unesco (LOC)', 'Alarmante (LOC)', 'Cibeles (PER)', 'Hola Luis (LOC)', 'Miriam (PER)', 'Centro Interpretación Botijo (LOC)', 'Humanidad (LOC)', 'Biblioteca Pública (LOC)', 'patrimoio (LOC)', 'Tempelhoff Berlin (LOC)', 'Museo Metro Madrid (LOC)', 'Nave Motores Estación Chamberí (LOC)', 'Antonio Palacios (PER)', 'vendo terreno (PER)', 'Curiosa (PER)', 'Plataforma Salvemos Cuatro Caminos (ORG)', 'Banco Central Cocheras Cuatro Caminos (ORG)', 'Dejad favor (ORG)', 'Alvaro Bonet Luis m Marco (PER)', 'Ley (LOC)', 'Infórmese (LOC)', 'Avda. Reina Victoria Pablo Iglesias Bravo Murillo (PER)', 'Delicias (LOC)', 'España (LOC)', 'Instituto Cervantes (ORG)', 'Buenisima (PER)', 'CAM (ORG)', 'Centenario (LOC)', 'Ayuntamiento (PER)', 'Museo Metro? (LOC)', 'Museo Metro (LOC)', 'Perjudicados (LOC)', 'Alucinaríais (PER)', 'Cuatro Caminos (LOC)', 'Alberto Aguilera (PER)', 'Estación museo Chamberí (LOC)', 'decedificio (PER)', 'Palacio Cibeles (LOC)', 'Opinar (PER)', 'Espero (LOC)', 'Metro Madrid (LOC)', 'Cooperativa (ORG)', 'Estación Chamberí (LOC)', 'señor Bonet señor Marco (PER)', 'Metro Cuatro Caminos (LOC)', 'Hola llamo Miguel estudiante Turismo (LOC)', 'desahuciarte (PER)', 'Museo Ferrocarril (LOC)', 'Metropolitan (LOC)', 'Povenir (ORG)', 'Metro Budapest (LOC)', 'Edificio España (LOC)', 'Museo Aspirina (LOC)', 'Porvenir (LOC)', 'Deja (PER)', 'Santander (LOC)']"
12131,"['Llamar (PER)', 'Ayuntamiento Madrid (LOC)', 'Desconozco (PER)', 'Pío (PER)', 'Madrid (LOC)']"
1266,"['calle Huertas (LOC)', 'Centro Madrid (LOC)', 'Gracias Dios (PER)', 'Grecia (LOC)', 'Embajadores (LOC)', '¿Satanizar (LOC)', 'Pertenezco Asociación Vecinos Centro (PER)', 'Hola Karmela (ORG)', 'Universidad (ORG)', 'Pues (LOC)', 'Montecarmelo (LOC)', 'Sol Malasaña Chueca (PER)', 'Septiembre (ORG)', 'Iglesia San Miguel calle Sacramento (LOC)', 'mimi (PER)', 'Gracias Gabriela (PER)', 'Amsterdam (LOC)', 'Distrito Centro Palacio (LOC)', 'Perezoso (PER)', 'OCDE (ORG)', 'Oxfam Intermon (ORG)', 'Ayuntamiento (LOC)', 'Pekín (LOC)', 'Palurdo (LOC)', 'Apoyo (PER)', 'Madrid (LOC)', 'Karmela (PER)', 'Aceras (LOC)', 'Valdebebas (LOC)', 'Europa (LOC)', 'Berna (LOC)', 'ojalá salgan (PER)', 'España (LOC)', 'Barrio Letras (LOC)', 'París (LOC)', 'Gran Vía (LOC)', 'vallo (LOC)', 'Papa Francisco I Afrontar (PER)', 'Málaga (LOC)', 'Munich (LOC)', 'Centro (LOC)']"
1284,"['Excmo (PER)', 'Europeos (LOC)', 'España (LOC)', 'Vale (ORG)', 'China (LOC)', 'Papa Francisco I (PER)', 'Catedral Santiago Mezquita Cordoba (LOC)', 'Ayuntamiento (LOC)', 'Hola drjen (PER)', 'Seguir (LOC)', 'San Isidro (PER)', 'Ningúna (PER)', 'Iglesia Católica (ORG)', 'Nadie (PER)', 'ojalá (PER)', 'Catalonia is Spain (LOC)', 'Viva Madrid (PER)', 'Ayuntaniento Madrid (PER)']"
